# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Mon Sep 18 12:27:44 2023
#
# User preference: *
#
# CONSTRAINT:  where (sy_snum = 1
# CONSTRAINT:  and pl_controv_flag = 0
# CONSTRAINT:  and pl_bmassprov like '%mass%'
# CONSTRAINT:  and st_radstr in [0.75, 1.25]
# CONSTRAINT:  and st_massstr in [0.75, 1.25])
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN sy_snum:        Number of Stars
# COLUMN rv_flag:        Detected by Radial Velocity Variations
# COLUMN ast_flag:       Detected by Astrometric Variations
# COLUMN pl_controv_flag: Controversial Flag
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN pl_bmasseerr1:  Planet Mass or Mass*sin(i) [Earth Mass] Upper Unc.
# COLUMN pl_bmasseerr2:  Planet Mass or Mass*sin(i) [Earth Mass] Lower Unc.
# COLUMN pl_bmasselim:   Planet Mass or Mass*sin(i) [Earth Mass] Limit Flag
# COLUMN pl_bmassprov:   Planet Mass or Mass*sin(i) Provenance
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_raderr1:     Stellar Radius Upper Unc. [Solar Radius]
# COLUMN st_raderr2:     Stellar Radius Lower Unc. [Solar Radius]
# COLUMN st_radlim:      Stellar Radius Limit Flag
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass]
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass]
# COLUMN st_masslim:     Stellar Mass Limit Flag
#
pl_name,hostname,sy_snum,rv_flag,ast_flag,pl_controv_flag,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassprov,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim
HD 125271 b,HD 125271,1,1,0,0,14901.99295000,3707.63683000,-3025.64091000,0,3465.60095,596.24609,-398.23899,0,Mass,0.75,0.05,-0.05,0,0.75,0.09,-0.09,0
NGTS-4 b,NGTS-4,1,1,0,0,1.33735080,0.00000800,-0.00000800,0,20.60000,3.00000,-3.00000,0,Mass,0.84,0.01,-0.01,0,0.75,0.02,-0.02,0
Kepler-305 b,Kepler-305,1,0,0,0,5.48700000,,,0,10.50000,2.60000,-2.00000,0,Mass,0.80,0.20,-0.08,0,0.76,0.13,-0.06,0
Kepler-305 c,Kepler-305,1,0,0,0,8.29100000,,,0,6.00000,2.40000,-2.20000,0,Mass,0.80,0.20,-0.08,0,0.76,0.13,-0.06,0
PDS 70 c,PDS 70,1,0,0,0,,,,,635.66000,317.83000,-317.83000,0,Mass,1.06,0.04,-0.11,0,0.76,0.02,-0.02,0
HAT-P-18 b,HAT-P-18,1,1,0,0,5.50802300,0.00000600,-0.00000600,0,62.61000,4.13200,-4.13200,0,Mass,0.75,0.04,-0.04,0,0.77,0.03,-0.03,0
LTT 9779 b,LTT 9779,1,1,0,0,0.79205200,0.00000930,-0.00000930,0,29.32000,0.78000,-0.81000,0,Mass,0.95,0.01,-0.01,0,0.77,0.29,-0.21,0
NGTS-6 b,NGTS-6,1,1,0,0,0.88205900,0.00000080,-0.00000080,0,425.57437,8.89924,-8.89924,0,Mass,0.75,0.01,-0.01,0,0.77,0.03,-0.03,0
TOI-216.01,TOI-216,1,0,0,0,34.52552800,,,0,177.98391,6.35657,-6.35657,0,Mass,0.75,0.02,-0.02,0,0.77,0.03,-0.03,0
TOI-216.02,TOI-216,1,0,0,0,17.16073000,,,0,18.75188,0.63566,-0.63566,0,Mass,0.75,0.02,-0.02,0,0.77,0.03,-0.03,0
WASP-29 b,WASP-29,1,1,0,0,3.92273000,0.00000400,-0.00000400,0,73.10090,15.89150,-15.89150,0,Mass,0.79,0.07,-0.07,0,0.77,0.25,-0.25,0
OGLE-TR-113 b,OGLE-TR-113,1,1,0,0,1.43247520,,,0,400.44900,50.85100,-50.85100,0,Mass,0.77,0.02,,0,0.78,0.02,,0
